Bombax insigne,BE3 = 0.1772 D12 - 0.2771 D1 + 0.7359
Bombax insigne,BE4 = -0.0009 D12 + 0.0399 D1 + 0.0226
Salmalia malabarica,BE1 = 142.4990 D2 + 15.7340 D + 11.7480
Salmalia malabarica,BE1 = 4.1172 D2 + 0.8835 D + 0.2329
Salmalia malabarica,BE3 = 0.1772 D12 - 0.2771 D1 + 0.7359
Salmalia malabarica,BE4 = -0.0009 D12 + 0.0399 D1 + 0.0226
Bombax malabaricum,BE1 = 142.4990 D2 + 15.7340 D + 11.7480
Bombax malabaricum,BE1 = 4.1172 D2 + 0.8835 D + 0.2329
Bombax malabaricum,BE3 = 0.1772 D12 - 0.2771 D1 + 0.7359
Bombax malabaricum,BE4 = -0.0009 D12 + 0.0399 D1 + 0.0226
Butea monosperma(Old),BEI= -22.7925 D2 + 53.4590 D - 1.4797
Butea monosperma(Old),BE2 = -2.0225 D2 + 5.2640 D + 0.1399
Butea monosperma(Old),BE2 = 0.0093 D12 + 0.3026 D1 + 0.2964
Butea monosperma(Old),BE4 = -0.0039 D12 + 0.1019 D1 + 0.0318
Butea frondosa,BEI= -22.7925 D2 + 53.4590 D - 1.4797
Butea frondosa,BE2 = -2.0225 D2 + 5.2640 D + 0.1399
Butea frondosa,BE2 = 0.0093 D12 + 0.3026 D1 + 0.2964
Butea frondosa,BE4 = -0.0039 D12 + 0.1019 D1 + 0.0318
Eastern Plain,region
1    Shorea robusta,BE2= -136.4916 D2 + 321.3854 D - 15.6215
Shorea robusta,BE2 = 20.7480 D2 + 0.9479 D + 0.4223
Shorea robusta,BE2 = 0.0770 D12 + 0.8211 D1 - 0.4931
Shorea robusta,BE4 = 0.0037 D12 + 0.0199 D1 + 0.0438
Lagerstroemia flosreginae,BE2 = 282.0677 D2 + 122.5817 D - 1.6765
Lagerstroemia flosreginae,BE2 = 4.3637 D2 + 10.5371 D - 0.2504
Lagerstroemia flosreginae,BE2 = 0.1708 D12 + 0.2991 D1 - 0.0735
Lagerstroemia flosreginae,BE4 = 0.0154 D12 - 0.0430 D1 + 0.0677
2    Lagerstroemia spaciosa(Old),BE2 = 282.0677 D2 + 122.5817 D - 1.6765
Lagerstroemia spaciosa(Old),BE2 = 4.3637 D2 + 10.5371 D - 0.2504
Lagerstroemia spaciosa(Old),BE2 = 0.1708 D12 + 0.2991 D1 - 0.0735
Lagerstroemia spaciosa(Old),BE4 = 0.0154 D12 - 0.0430 D1 + 0.0677
Amoora wallichi,BE2 = 1536.3332 D2 - 381.4076 D + 39.6576
Amoora wallichi,BE2 = 43.9892 D2 - 7.6717 D + 0.9609
Amoora wallichi,BE2 = 0.1708 D12 + 0.2991 D1 - 0.0735
Amoora wallichi,BE4 = 0.0154 D12 - 0.0430 D1 + 0.0677
Aglaia hiernii,BE2 = 1536.3332 D2 - 381.4076 D + 39.6576
Aglaia hiernii,BE2 = 43.9892 D2 - 7.6717 D + 0.9609
Aglaia hiernii,BE2 = 0.1708 D12 + 0.2991 D1 - 0.0735
Aglaia hiernii,BE4 = 0.0154 D12 - 0.0430 D1 + 0.0677
4    Schima wallichii,BE2 = 845.4033 D2 - 151.7822 D + 22.8579
Schima wallichii,BE2 = 29.1497 D2 - 3.6565 D + 0.9238
Schima wallichii,BE2 = 0.1270 D12 + 0.5903 D1 + 0.1752
Schima wallichii,BE4 = 0.0068 D12 + 0.0347 D1 + 0.0934
5    Careya arborea,BE2 = 371.7445 D2 + 99.4637 D + 3.6420
Careya arborea,BE2 = 15.2099 D2 + 4.0695 D + 0.1490
