    Terminalia belerica,V = 0.26454 - 3.05249 D + 12.35740 D2
    Terminalia crenulata,V/D2 = 0.022389/D2 - 0.84158/D + 9.4721
    Terminalia tomentosa,V/D2 = 0.022389/D2 - 0.84158/D + 9.4721
Terminalia elliptica,V/D2 = 0.022389/D2 - 0.84158/D + 9.4721
    Trewia nudiflora,V = 0.0549 - 0.0131 D + 0.001 D2 (dia D is in cm)
    Wrightia tomentosa,sqrtV = 0.23229 + 4.41646 D - 1.55989 sqrtD
Western Plain,region
1    Acacia catechu,V = -0.02471 + 0.16897 D + 1.12083 D2 + 2.9328 D3
2    Acacia ferruginea,sqrtV = -0.00142 + 2.61911 D - 0.54703 sqrtD
3    Acacia lenticularis,sqrtV = -0.00142 + 2.61911 D - 0.54703 sqrtD
Acacia leucophloea,sqrtV = -0.00142 + 2.61911 D - 0.54703 sqrtD
4    Acacia species,sqrtV = -0.00142 + 2.61911 D - 0.54703 sqrtD
5    Anogeissus pendula,V/D2 = 0.00085/D2 - 0.35165/D + 4.77386 - 0.90585 D
6    Bauhinia species,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
7    Boswellia serrata,sqrtV = -0.11629 + 2.4254 D
8    Butea monosperma,sqrtV = -0.24276 + 2.95525 D
Butea frondosa,sqrtV = -0.24276 + 2.95525 D
9    Diospyros melanoxylon,V = 0.15581 - 2.2075 D + 9.17559 D2
10    Lannea coromandelica,V = -0.00146 - 0.39953 D + 5.33895 D2
Lannea grandis,V = -0.00146 - 0.39953 D + 5.33895 D2
Odina wodier,V = -0.00146 - 0.39953 D + 5.33895 D2
11    Manilkara achras,V = 0.0245 - 0.00497 D + 0.000719 D2 (dia D is in cm)
12    *Prosopis cineraria,V = 0.081467 - 1.063661 D + 6.452918 D2
13    *Prosopis juliflora ,V = 0.081467 - 1.063661 D + 6.452918 D2
14    *Salvadora oleoides,V = 0.081467 - 1.063661 D + 6.452918 D2
15    Wrightia tinctoria,V = 0.028917 + 7.777047 D3
Central Highlands,region
1    Acacia catechu,V = -0.02471 + 0.16897 D + 1.12083 D2 + 2.9328 D3
2    Acacia lenticularis,sqrtV = -0.00142 + 2.61911 D - 0.54703 sqrtD
Acacia leucophloea,sqrtV = -0.00142 + 2.61911 D - 0.54703 sqrtD
3    Aegle marmelos,V/D2 = 0.16609/D2- 2.78851/D + 17.22127 - 11.60248 D
